Length of passed: 1, failed: 0 
Length of passed: 2, failed: 0 
Length of passed: 2, failed: 1 
Length of passed: 2, failed: 2 
Length of passed: 2, failed: 3 
Length of passed: 3, failed: 3 
Length of passed: 3, failed: 4 
Length of passed: 3, failed: 5 
Length of passed: 3, failed: 6 
Length of passed: 3, failed: 7 
Length of passed: 3, failed: 8 
Length of passed: 4, failed: 8 
Length of passed: 4, failed: 9 
Length of passed: 4, failed: 10 
Length of passed: 4, failed: 11 
Length of passed: 5, failed: 11 
Length of passed: 5, failed: 12 
Length of passed: 6, failed: 12 
Length of passed: 6, failed: 13 
Length of passed: 6, failed: 14 
Length of passed: 7, failed: 14 
Length of passed: 7, failed: 15 
Length of passed: 7, failed: 16 
Length of passed: 7, failed: 17 
Length of passed: 7, failed: 18 
Length of passed: 7, failed: 19 
Length of passed: 7, failed: 20 
Length of passed: 7, failed: 21 
Length of passed: 7, failed: 22 
Length of passed: 7, failed: 23 
Length of passed: 7, failed: 24 
Length of passed: 7, failed: 25 
Length of passed: 8, failed: 25 
Length of passed: 9, failed: 25 
Length of passed: 9, failed: 26 
Length of passed: 9, failed: 27 
Length of passed: 9, failed: 28 
Length of passed: 9, failed: 29 
Length of passed: 9, failed: 30 
Length of passed: 9, failed: 31 
Length of passed: 9, failed: 32 
Length of passed: 9, failed: 33 
Length of passed: 9, failed: 34 
Length of passed: 9, failed: 35 
Length of passed: 9, failed: 36 
Length of passed: 10, failed: 36 
Length of passed: 10, failed: 37 
Length of passed: 10, failed: 38 
Length of passed: 10, failed: 39 
Length of passed: 10, failed: 40 
Length of passed: 10, failed: 41 
Length of passed: 11, failed: 41 
Length of passed: 11, failed: 42 
Length of passed: 12, failed: 42 
Length of passed: 12, failed: 43 
Length of passed: 12, failed: 44 
Length of passed: 12, failed: 45 
Length of passed: 13, failed: 45 
Length of passed: 13, failed: 46 
Length of passed: 14, failed: 46 
Length of passed: 14, failed: 47 
Length of passed: 15, failed: 47 
Length of passed: 15, failed: 48 
Length of passed: 15, failed: 49 
Length of passed: 15, failed: 50 
Length of passed: 15, failed: 51 
Length of passed: 15, failed: 52 
Length of passed: 15, failed: 53 
Length of passed: 15, failed: 54 
Length of passed: 15, failed: 55 
Length of passed: 15, failed: 56 
Length of passed: 15, failed: 57 
Length of passed: 15, failed: 58 
Length of passed: 15, failed: 59 
Length of passed: 15, failed: 60 
Length of passed: 15, failed: 61 
Length of passed: 15, failed: 62 
Length of passed: 16, failed: 62 
Length of passed: 16, failed: 63 
Length of passed: 16, failed: 64 
Length of passed: 17, failed: 64 
Length of passed: 18, failed: 64 
Length of passed: 18, failed: 65 
Length of passed: 19, failed: 65 
Length of passed: 19, failed: 66 
Length of passed: 19, failed: 67 
Length of passed: 19, failed: 68 
Length of passed: 19, failed: 69 
Length of passed: 19, failed: 70 
Length of passed: 19, failed: 71 
Length of passed: 19, failed: 72 
Length of passed: 19, failed: 73 
Length of passed: 19, failed: 74 
Length of passed: 19, failed: 75 
Length of passed: 19, failed: 76 
Length of passed: 19, failed: 77 
Length of passed: 19, failed: 78 
Length of passed: 19, failed: 79 
Length of passed: 20, failed: 79 
Length of passed: 21, failed: 79 
Length of passed: 21, failed: 80 
Length of passed: 22, failed: 80 
Length of passed: 22, failed: 81 
Length of passed: 22, failed: 82 
Length of passed: 22, failed: 83 
Length of passed: 22, failed: 84 
Length of passed: 23, failed: 84 
Length of passed: 23, failed: 85 
Length of passed: 23, failed: 86 
Length of passed: 24, failed: 86 
Length of passed: 25, failed: 86 
Length of passed: 25, failed: 87 
Length of passed: 25, failed: 88 
Length of passed: 25, failed: 89 
Length of passed: 25, failed: 90 
Length of passed: 26, failed: 90 
Length of passed: 26, failed: 91 
Length of passed: 27, failed: 91 
Length of passed: 28, failed: 91 
Length of passed: 28, failed: 92 
Length of passed: 28, failed: 93 
Length of passed: 28, failed: 94 
Length of passed: 28, failed: 95 
Length of passed: 28, failed: 96 
Length of passed: 28, failed: 97 
Length of passed: 28, failed: 98 
Length of passed: 28, failed: 99 
Length of passed: 29, failed: 99 
Length of passed: 29, failed: 100 
Length of passed: 30, failed: 100 
Length of passed: 31, failed: 100 
Length of passed: 31, failed: 100 
Length of passed: 31, failed: 100 
Length of passed: 31, failed: 100 
Length of passed: 32, failed: 100 
Length of passed: 32, failed: 100 
Length of passed: 32, failed: 100 
Length of passed: 32, failed: 100 
Length of passed: 32, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 33, failed: 100 
Length of passed: 34, failed: 100 
Length of passed: 35, failed: 100 
Length of passed: 35, failed: 100 
Length of passed: 35, failed: 100 
Length of passed: 35, failed: 100 
Length of passed: 35, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 36, failed: 100 
Length of passed: 37, failed: 100 
Length of passed: 37, failed: 100 
Length of passed: 37, failed: 100 
Length of passed: 38, failed: 100 
Length of passed: 39, failed: 100 
Length of passed: 39, failed: 100 
Length of passed: 39, failed: 100 
Length of passed: 39, failed: 100 
Length of passed: 39, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 40, failed: 100 
Length of passed: 41, failed: 100 
Length of passed: 41, failed: 100 
Length of passed: 42, failed: 100 
Length of passed: 42, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 43, failed: 100 
Length of passed: 44, failed: 100 
Length of passed: 44, failed: 100 
Length of passed: 44, failed: 100 
Length of passed: 44, failed: 100 
Length of passed: 44, failed: 100 
Length of passed: 45, failed: 100 
Length of passed: 45, failed: 100 
Length of passed: 45, failed: 100 
Length of passed: 45, failed: 100 
Length of passed: 45, failed: 100 
